Date,Open,High,Low,Close,Adj Close,Volume
2010-09-22,21.676737,21.842899,21.570997,21.593657,8.769535,40452304
2010-09-23,21.548338,21.714502,21.487915,21.533234,8.744997,31562306
2010-09-24,21.676737,21.752266,21.525681,21.586103,8.766468,35256664
2010-09-27,21.601208,22.016617,21.540785,21.805136,8.855418,41081337
2010-09-28,21.880665,21.925982,21.654079,21.842899,8.870761,36338239
2010-09-29,21.835346,21.888218,21.608761,21.684290,8.806344,36059405
2010-09-30,21.737160,21.948641,21.578550,21.601208,8.772600,37470789
2010-10-01,21.790030,21.873112,21.646526,21.759819,8.837016,29398493
2010-10-04,21.782476,21.963745,21.676737,21.797583,8.852354,35103742
2010-10-05,21.918428,22.228098,21.888218,22.175226,9.005723,38103661
2010-10-06,21.941088,21.941088,21.329306,21.616314,8.948214,64920751
2010-10-07,21.638973,21.699396,21.163141,21.336859,8.832532,42096050
2010-10-08,21.427492,21.435045,21.042295,21.314199,8.823155,33076433
2010-10-11,21.291540,21.487915,21.291540,21.389729,8.854420,19050506
2010-10-12,21.351965,21.525681,21.246223,21.442598,8.876306,32228808
2010-10-13,21.563444,21.661631,21.457705,21.503021,8.901317,27429573
2010-10-14,21.518127,21.623867,21.412388,21.525681,8.910700,23544030
2010-10-15,21.661631,21.684290,21.299093,21.397282,8.857548,46679076
2010-10-18,21.442598,21.676737,21.442598,21.616314,8.948214,20950182
2010-10-19,21.495468,21.503021,21.148035,21.306646,8.820029,42080957
2010-10-20,21.382175,21.654079,21.374622,21.608761,8.945092,29850242
2010-10-21,21.314199,21.601208,21.216011,21.404835,8.860672,41232670
2010-10-22,21.397282,21.457705,21.253777,21.367069,8.845040,23927460
2010-10-25,21.518127,21.540785,21.344412,21.419941,8.866928,23710986
2010-10-26,21.427492,21.548338,21.344412,21.382175,8.851295,28256411
2010-10-27,21.344412,21.457705,21.208460,21.412388,8.863800,32898487
2010-10-28,21.555891,21.631420,21.457705,21.525681,8.910700,28825069
2010-10-29,21.465258,21.623867,21.427492,21.540785,8.916953,28039275
2010-11-01,21.774923,21.820242,21.623867,21.691843,8.979482,34391694
2010-11-02,21.865559,21.986404,21.842899,21.858006,9.048266,24743574
2010-11-03,21.910875,21.986404,21.722054,21.948641,9.085785,25442778
2010-11-04,22.077040,22.273415,21.978851,22.235649,9.204595,30305036
2010-11-05,22.250755,22.258308,22.001511,22.107250,9.151442,23969564
2010-11-08,21.978851,22.077040,21.910875,22.039274,9.123302,20107853
2010-11-09,22.046827,22.107250,21.948641,22.039274,9.123302,25995681
2010-11-10,21.956194,21.963745,21.684290,21.941088,9.082657,28461366
2010-11-11,21.865559,21.986404,21.714502,21.774923,9.013875,28328569
2010-11-12,21.699396,21.722054,21.291540,21.495468,8.898193,34971342
2010-11-15,21.570997,21.820242,21.503021,21.623867,8.951344,30658014
2010-11-16,21.495468,21.525681,21.170694,21.329306,8.829407,33728238
2010-11-17,21.283989,21.329306,21.095165,21.117825,8.741862,32129111
2010-11-18,21.291540,21.495468,21.291540,21.480364,8.891941,25935704
2010-11-19,21.435045,21.510574,21.231117,21.389729,8.854420,25675802
2010-11-22,21.389729,21.397282,21.185801,21.367069,8.845040,26210169
2010-11-23,21.223564,21.261330,21.080059,21.170694,8.763749,25019628
2010-11-24,21.246223,21.321753,21.208460,21.253777,8.798139,23219650
2010-11-26,21.148035,21.216011,21.072508,21.095165,8.732484,10568830
2010-11-29,21.034742,21.049849,20.762840,20.921450,8.660573,32401193
2010-11-30,20.981873,21.095165,20.793051,20.989426,8.688715,33843161
2010-12-01,21.238670,21.382175,21.170694,21.359516,8.841913,31224554
2010-12-02,21.306646,21.638973,21.306646,21.563444,8.926332,29761269
2010-12-03,21.435045,21.525681,21.306646,21.518127,8.907572,30402615
2010-12-06,21.442598,21.540785,21.344412,21.374622,8.848168,30540178
2010-12-07,21.457705,21.714502,21.397282,21.555891,8.923203,33081199
2010-12-08,21.669184,21.684290,21.487915,21.623867,8.951344,22840589
2010-12-09,21.646526,21.767372,21.601208,21.767372,9.010748,27701258
2010-12-10,21.835346,21.880665,21.714502,21.820242,9.032636,34787173
2010-12-13,21.865559,21.903322,21.722054,21.737160,8.998243,31504183
2010-12-14,21.774923,22.160122,21.759819,22.160122,9.173331,35191920
2010-12-15,22.152569,22.326284,21.895769,22.001511,9.107674,46097443
2010-12-16,22.069487,22.167673,21.993958,22.077040,9.138939,22834101
2010-12-17,22.054380,22.107250,21.827795,22.061934,9.132684,47943894
2010-12-20,22.280968,22.296074,21.888218,22.001511,9.107674,36551271
2010-12-21,22.061934,22.114803,21.941088,21.956194,9.088911,22095839
2010-12-22,21.910875,22.024170,21.895769,22.001511,9.107674,22334821
2010-12-23,22.001511,22.084593,21.948641,22.054380,9.129556,16809769
2010-12-27,22.039274,22.205439,22.016617,22.092146,9.145191,15423806
2010-12-28,22.175226,22.205439,22.061934,22.077040,9.138939,18108480
2010-12-29,22.122356,22.235649,22.061934,22.137463,9.163951,16192520
2010-12-30,22.099697,22.175226,22.061934,22.152569,9.170204,17091781
2010-12-31,22.175226,22.303625,22.122356,22.190332,9.185838,20158562
2011-01-03,22.416918,22.454683,22.288521,22.409367,9.276508,27251760
2011-01-04,22.507553,22.590633,22.394260,22.567976,9.342165,27522253
2011-01-05,22.530210,22.734138,22.333838,22.643505,9.373430,37266893
2011-01-06,22.333838,22.364048,21.676737,22.016617,9.290349,53978818
2011-01-07,21.978851,21.986404,21.646526,21.790030,9.194735,62936472
2011-01-10,21.555891,21.608761,21.246223,21.404835,9.032193,54728996
2011-01-11,21.238670,21.321753,20.929003,21.080059,8.895148,75910746
2011-01-12,21.080059,21.306646,21.027189,21.178247,8.936581,47702926
2011-01-13,21.253777,21.291540,21.049849,21.208460,8.949327,47543781
2011-01-14,21.155588,21.487915,21.080059,21.472811,9.060878,45258027
2011-01-18,21.563444,21.593657,21.344412,21.397282,9.029008,41326939
2011-01-19,21.404835,21.503021,21.336859,21.397282,9.029008,41898112
2011-01-20,21.518127,21.533234,21.261330,21.321753,8.997136,39320814
2011-01-21,21.382175,21.510574,21.321753,21.397282,9.029008,50337686
2011-01-24,21.495468,21.570997,21.382175,21.510574,9.076816,26452328
2011-01-25,21.510574,21.722054,21.450151,21.722054,9.166053,36592447
2011-01-26,21.805136,21.865559,21.661631,21.699396,9.156488,32290904
2011-01-27,21.208460,21.336859,21.004532,21.246223,8.965263,77328617
2011-01-28,21.148035,21.163141,20.702417,20.762840,8.761292,54335371
2011-01-31,20.709970,20.830816,20.543806,20.785498,8.770856,38726206
2011-02-01,21.087612,21.087612,20.876133,21.049849,8.882400,34941154
2011-02-02,21.178247,21.185801,20.815710,20.898792,8.818658,30986366
2011-02-03,20.898792,21.155588,20.830816,21.140484,8.920647,27917070
2011-02-04,21.193354,21.193354,21.019636,21.125378,8.914273,24257401
2011-02-07,21.125378,21.155588,20.929003,21.117825,8.911084,43549935
2011-02-08,21.125378,21.148035,20.974319,21.080059,8.895148,26248565
2011-02-09,20.981873,21.155588,20.868580,21.125378,8.914273,24671813
2011-02-10,21.132931,21.480364,20.996979,21.329306,9.000323,46705159
2011-02-11,21.246223,21.593657,21.216011,21.503021,9.073626,29461780
2011-02-14,21.450151,21.548338,21.306646,21.495468,9.070441,30305963
2011-02-15,21.389729,21.404835,21.148035,21.329306,9.000323,31318690
2011-02-16,21.291540,21.442598,21.216011,21.374622,9.019446,30192364
2011-02-17,21.344412,21.563444,21.261330,21.525681,9.083189,25016450
2011-02-18,21.548338,21.586103,21.412388,21.578550,9.105496,26106764
2011-02-22,21.389729,21.465258,21.185801,21.299093,8.987573,34396461
2011-02-23,21.336859,21.367069,21.163141,21.170694,8.933394,32786080
2011-02-24,21.155588,21.185801,20.853474,21.087612,8.898337,37251534
2011-02-25,20.989426,21.283989,20.974319,21.246223,8.965263,21257085
2011-02-28,21.336859,21.450151,21.268883,21.435045,9.044941,28047616
2011-03-01,21.487915,21.548338,21.178247,21.208460,8.949327,29408820
2011-03-02,21.208460,21.540785,21.170694,21.276436,8.978015,35584618
2011-03-03,21.397282,21.442598,21.178247,21.246223,8.965263,28930459
2011-03-04,21.314199,21.412388,20.989426,21.087612,8.898337,35097784
2011-03-07,21.110271,21.223564,20.944109,21.072508,8.891960,31607455
2011-03-08,21.253777,21.601208,21.223564,21.487915,9.067250,39843662
2011-03-09,21.525681,21.820242,21.427492,21.744713,9.175613,38104323
2011-03-10,21.684290,21.759819,21.548338,21.608761,9.118248,45656551
2011-03-11,21.518127,21.691843,21.329306,21.495468,9.070441,28960779
2011-03-14,21.389729,21.465258,21.110271,21.291540,8.984389,33465424
2011-03-15,20.913897,21.102718,20.777946,21.004532,8.863277,50984724
2011-03-16,20.936556,20.951662,20.596678,20.641994,8.710298,49162768
2011-03-17,20.898792,21.080059,20.815710,20.951662,8.840969,34519725
2011-03-18,21.110271,21.185801,20.951662,21.102718,8.904710,35114863
2011-03-21,21.729607,21.978851,21.216011,21.344412,9.006698,82085087
2011-03-22,21.359516,21.374622,21.148035,21.223564,8.955706,38217128
2011-03-23,21.170694,21.314199,21.110271,21.253777,8.968451,28914704
2011-03-24,21.525681,21.729607,21.457705,21.555891,9.095935,43139627
2011-03-25,21.638973,21.827795,21.616314,21.790030,9.194735,31312070
2011-03-28,21.918428,22.379154,21.827795,22.175226,9.357278,66838962
2011-03-29,22.145016,22.719032,22.129910,22.696375,9.577185,55647455
2011-03-30,22.741692,23.391239,22.719032,23.194864,9.787533,69942021
2011-03-31,23.134441,23.300604,23.043806,23.119335,9.755663,154437848
2011-04-01,23.315710,23.361027,22.930513,23.126888,9.758849,161523234
2011-04-04,23.217524,23.293051,23.141994,23.240181,9.806656,49849262
2011-04-05,23.164654,23.413897,23.126888,23.187311,9.784347,38599102
2011-04-06,22.900303,23.074018,22.832327,23.013596,9.894532,33295025
2011-04-07,23.021149,23.089125,22.651056,23.066465,9.917263,39700272
2011-04-08,23.096678,23.202417,23.028702,23.194864,9.972469,34604991
2011-04-11,23.225077,23.293051,23.141994,23.157101,9.956235,30168002
2011-04-12,22.990936,23.089125,22.938066,23.013596,9.894532,29039160
2011-04-13,23.043806,23.074018,22.749245,22.794561,9.800360,28050264
2011-04-14,22.719032,22.983383,22.666162,22.877644,9.836081,25714993
2011-04-15,23.066465,23.172205,22.892750,23.149548,9.952985,30026996
2011-04-18,22.975830,23.021149,22.824774,22.892750,9.842576,28447596
2011-04-19,22.892750,22.990936,22.794561,22.892750,9.842576,31453606
2011-04-20,22.787008,23.036255,22.590633,22.756798,9.784126,41339517
2011-04-21,22.870090,23.225077,22.824774,23.172205,9.962725,33859976
2011-04-25,23.164654,23.209970,22.983383,23.074018,9.920512,17548958
2011-04-26,23.172205,23.406343,23.157101,23.368580,10.047153,27804530
2011-04-27,23.383686,23.791540,23.345921,23.731117,10.203025,37685806
2011-04-28,23.746223,24.033234,23.632931,23.693354,10.186790,31843127
2011-04-29,23.700907,24.018127,23.466766,23.504532,10.105605,33815622
2011-05-02,23.867069,23.957705,23.527189,23.572508,10.134832,36507049
2011-05-03,23.806646,24.123867,23.610271,24.063444,10.345911,61224673
2011-05-04,23.942598,24.101208,23.882175,24.010574,10.323179,34708263
2011-05-05,23.957705,24.108761,23.436556,23.580059,10.138082,41676475
2011-05-06,23.836859,23.927492,23.512085,23.610271,10.151068,32335125
2011-05-09,23.564955,23.731117,23.459215,23.678247,10.180295,20358221
2011-05-10,23.761330,23.972811,23.708460,23.935045,10.290704,22636163
2011-05-11,23.882175,23.972811,23.587612,23.700907,10.190039,26783593
2011-05-12,23.738670,24.010574,23.663141,23.897282,10.274466,29171427
